|name          |ra      |dec     |maj_axis|mag    |cat_num  |cdec     |cra     |
|MCG+00-01-001 |23 55 52|+00 35.7|    0.00|   14.0|NGC 7787 |+003541.7|235551.7|
|MCG+00-01-002 |23 55 58|-00 10.3|    6.00|   15.5|         |-001018.3|235557.7|
|MCG+00-01-003 |23 55 58|-01 27.3|    6.00|   15.0|         |-012718.3|235557.7|
|MCG+00-01-004 |23 56 04|-00 58.3|    9.00|   13.5|IC 1515  |-005818.2|235603.7|
|MCG+00-01-005 |23 56 10|+00 34.7|    6.00|   13.5|         |+003441.8|235609.7|
|MCG+00-01-006 |23 56 10|-00 54.3|   15.00|   13.5|IC 1516  |-005418.2|235609.7|
|MCG+00-01-007 |23 56 16|-00 30.3|    7.00|   14.0|         |-003018.2|235615.7|
|MCG+00-01-008 |23 56 19|-00 16.3|    6.00|   14.0|IC 1517  |-001618.2|235618.7|
|MCG+00-01-009 |23 56 52|+01 23.7|   19.00|   13.0|         |+012341.8|235651.7|
|MCG+00-01-010 |23 57 40|+00 38.7|    9.00|   15.0|         |+003841.9|235739.7|
|MCG+00-01-011 |23 58 55|+03 37.7|    9.00|   13.0|NGC 7797 |+033742.0|235854.6|
|MCG+00-01-012 |23 59 10|+01 45.7|    6.00|   14.0|IC 1522  |+014542.0|235909.7|
|MCG+00-01-013 |23 59 19|+01 52.7|   11.00|   15.0|         |+015242.0|235918.7|
|MCG+00-01-014 |00 00 04|-00 03.3|    2.00|   14.0|         |-000318.0|000003.7|
|MCG+00-01-015 |00 00 10|-00 02.3|    2.50|   14.0|         |-000218.0|000009.7|
|MCG+00-01-016 |00 00 19|+01 08.7|    8.00|   13.5|         |+010842.0|000018.7|
|MCG+00-01-017 |00 00 28|-01 45.3|    7.00|   14.0|         |-014518.0|000027.7|
|MCG+00-01-018 |00 01 37|+03 30.7|   12.00|   15.0|         |+033042.0|000136.7|
|MCG+00-01-019 |00 02 13|+02 56.7|    5.00|   14.0|NGC 7809 |+025642.0|000212.7|
|MCG+00-01-020 |00 02 22|+03 20.7|    4.00|   13.0|NGC 7811 |+032042.0|000221.7|
|MCG+00-01-021 |00 03 04|-01 55.3|   12.00|   12.8|         |-015518.0|000303.7|
|MCG+00-01-022 |00 03 10|+03 36.7|    7.00|   13.5|         |+033642.0|000309.7|
|MCG+00-01-023 |00 04 04|-00 53.3|    7.00|   14.5|         |-005318.1|000403.7|
|MCG+00-01-024 |00 04 46|-01 31.3|    4.00|   14.0|         |-013118.1|000445.7|
|MCG+00-01-025 |00 04 46|-01 34.3|    6.00|   14.0|         |-013418.1|000445.7|
|MCG+00-01-026 |00 06 55|+03 27.7|    0.00|   15.5|         |+032741.7|000654.8|
|MCG+00-01-027 |00 07 10|-00 25.3|    1.50|   15.0|         |-002518.3|000709.7|
|MCG+00-01-028 |00 08 40|-00 44.3|    9.00|   14.5|         |-004418.5|000839.7|
|MCG+00-01-029 |00 09 10|-01 19.3|    9.00|   15.5|         |-011918.6|000909.6|
|MCG+00-01-030 |00 09 31|+00 52.7|    3.50|   15.5|         |+005241.4|000930.7|
|MCG+00-01-031 |00 10 10|+00 19.7|    5.00|   16.0|         |+001941.3|001009.7|
|MCG+00-01-032 |00 10 28|-01 35.3|    3.00|   15.5|         |-013518.8|001027.6|
|MCG+00-01-033 |00 10 40|+01 31.7|    4.50|   15.5|         |+013141.2|001039.8|
|MCG+00-01-034 |00 10 40|-00 04.3|    6.00|   14.0|         |-000418.8|001039.7|
|MCG+00-01-035 |00 11 16|+02 40.7|    6.00|   13.5|         |+024041.1|001115.8|
|MCG+00-01-036 |00 11 43|-00 28.3|    4.00|   15.0|         |-002819.0|001142.7|
|MCG+00-01-037 |00 11 49|-01 06.3|    6.00|   15.5|         |-010619.0|001148.6|
|MCG+00-01-038 |00 12 10|-00 25.3|    0.00|   13.0|IC    3  |-002519.1|001209.7|
|MCG+00-01-039 |00 12 28|-00 04.3|    8.00|   14.5|         |-000419.2|001227.7|
|MCG+00-01-040 |00 12 37|+00 02.7|    8.00|   16.0|         |+000240.8|001236.7|
|MCG+00-01-041 |00 13 52|+03 42.7|    9.00|   14.0|         |+034240.5|001351.9|
|MCG+00-01-042 |00 14 28|-00 00.3|    3.00|   15.0|         |-000019.6|001427.7|
|MCG+00-01-043 |00 14 28|-00 45.3|   20.00|   13.0|         |-004519.6|001427.6|
|MCG+00-01-044 |00 14 31|-00 02.3|    2.00|   15.0|         |-000219.7|001430.7|
|MCG+00-01-045 |00 14 46|-00 03.3|    2.00|   16.0|         |-000319.7|001445.7|
|MCG+00-01-046 |00 14 52|+00 14.7|    3.50|   14.0|         |+001440.3|001451.7|
|MCG+00-01-047 |00 15 19|+02 32.6|    6.00|   15.0|         |+023240.1|001518.9|
|MCG+00-01-048 |00 15 58|-00 20.3|   11.00|   13.0|NGC   60 |-002020.0|001557.7|
|MCG+00-01-049 |00 16 07|+02 25.7|    4.50|   15.0|         |+022539.9|001606.9|
|MCG+00-01-050 |00 16 13|+02 26.6|    4.00|   16.0|         |+022639.9|001612.9|
|MCG+00-01-051 |00 16 16|+01 31.7|    0.00|   15.5|         |+013139.9|001615.8|
|MCG+00-01-052 |00 16 28|+02 18.7|    4.00|   15.5|         |+021839.8|001627.9|
|MCG+00-01-053 |00 16 34|+01 30.7|    5.00|   14.5|         |+013039.8|001633.8|
|MCG+00-01-054 |00 16 37|+01 34.7|    5.00|   15.5|         |+013439.8|001636.8|
|MCG+00-01-055 |00 16 46|+01 35.6|   10.00|   14.5|         |+013539.7|001645.8|
|MCG+00-01-056 |00 16 52|-00 06.4|    6.00|   15.0|         |-000620.3|001651.7|
|MCG+00-01-057 |00 17 06|-00 59.3|    5.00|   15.0|         |-005920.4|001706.6|
|MCG+00-01-058 |00 17 22|-01 00.4|    8.00|   14.0|         |-010020.4|001721.6|
|MCG+00-01-059 |00 17 58|+00 18.7|    9.00|   14.0|         |+001839.4|001757.7|
|MCG+00-02-001 |00 19 40|+00 21.7|    8.00|   15.0|         |+002138.8|001939.7|
|MCG+00-02-002 |00 19 46|+00 34.6|    0.00|   15.0|         |+003438.8|001945.7|
|MCG+00-02-003 |00 20 10|-00 01.4|    8.00|   16.0|         |-000121.4|002009.7|
|MCG+00-02-004 |00 20 25|+00 49.6|   10.00|   14.0|NGC   78A|+004938.5|002024.8|
|MCG+00-02-005 |00 20 28|+00 49.6|    4.00|   14.0|NGC   78B|+004938.5|002027.8|
|MCG+00-02-006 |00 20 28|-00 33.4|    3.00|   15.5|         |-003321.5|002027.6|
|MCG+00-02-007 |00 20 34|-00 28.4|   10.00|   15.5|         |-002821.5|002033.6|
|MCG+00-02-008 |00 20 46|+01 57.7|    0.00|   15.5|         |+015738.4|002045.9|
