#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-04-03T13:10:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ533d5b416595	
#INFO	-out.max=unlimited	
#INFO	queryParameters=41	
#-oc.form=dec
#-out.max=unlimited
#-out.all=1
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-nav=cat:VII/196&tab:{VII/196/north}&tab:{VII/196/south}&key:source=VII/196/north&key:source=VII/196/south&HTTPPRM:&&-ref=VIZ533d5b416595&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=VII/196/north,VII/196/south
#-order=I
#-out=recno
#-out=Shk
#-sort=Shk
#-out=m_Shk
#-out=Object
#-out=RAJ2000
#-out=DEJ2000
#-out=n_DEs
#-out=Star
#-out=Vmag
#-out=Rmag
#-out=RV
#-out.all=1
#-out=z
#-out=Note
#-out=Object
#-out=m_Object
#-out=RA2000
#-out=DE2000
#-out=a
#-out=e
#-out=PA
#-out=bjg
#-out=bjs
#-out=Area
#-out=Class
#-out=Notes
#-out.all=1
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_7196
#Name: VII/196
#Title: Shakhbazian compact groups of galaxies (Stoll+ 1993-97)
#Table	VII_196_north:
#Name: VII/196/north
#Title: Northern part (from POSS)
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Shk	(I3)	Group name (Shakhbazian+, Cat. <VII/89>) (1)	[ucd=meta.id.part;meta.main]
#Column	m_Shk	(A1)	[a] Group 340 divided in 2 parts	[ucd=meta.code.multip]
#Column	Object	(I2)	Object number within group	[ucd=meta.id.part;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	n_DEs	(A1)	[?H] Origin of positions (2)	[ucd=meta.note]
#Column	Star	(A1)	[S] S: object probably a star	[ucd=src.class]
#Column	Vmag	(F5.2)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Rmag	(F5.2)	? R magnitude	[ucd=phot.mag;em.opt.R]
#Column	RV	(I5)	? Radial velocity [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#Column	z	(F7.4)	? Redshift (3)	[ucd=src.redshift]
#Column	Note	(a56)	Other name or remark	[ucd=meta.id]
#_RAJ2000|_DEJ2000|recno|Shk|m_Shk|Object|RAJ2000|DEJ2000|n_DEs|Star|Vmag|Rmag|RV|z|Note
#deg|deg| | | | |"h:m:s"|"d:m:s"| | |mag|mag|km/s| |
#--------|--------|--------|---|-|--|----------|---------|-|-|-----|-----|-----|-------|--------------------------------------------------------
175.9508|+51.4125|       1|  2| | 1|11 43 48.2|+51 24 45| | |     |     |     |       |
175.9558|+51.4189|       2|  2| | 2|11 43 49.4|+51 25 08| | |     |     |     |       |
175.9433|+51.4244|       3|  2| | 3|11 43 46.4|+51 25 28| | |     |     |     |       |
175.9358|+51.4236|       4|  2| | 4|11 43 44.6|+51 25 25| | |     |     |     |       |
175.9454|+51.4119|       5|  2| | 5|11 43 46.9|+51 24 43| | |     |     |     |       |
175.9475|+51.4200|       6|  2| | 6|11 43 47.4|+51 25 12| | |     |     |     |       |
175.9375|+51.4194|       7|  2| | 7|11 43 45.0|+51 25 10| | |     |     |     |       |
175.9287|+51.4214|       8|  2| | 8|11 43 42.9|+51 25 17| | |     |     |     |       |
175.9312|+51.4219|       9|  2| | 9|11 43 43.5|+51 25 19| | |     |     |     |       |
168.9667|+53.7539|      10|  3| | 1|11 15 52.0|+53 45 14| | |     |     |     |       |
168.9658|+53.7528|      11|  3| | 2|11 15 51.8|+53 45 10| | |     |     |     |       |
168.9742|+53.7528|      12|  3| | 3|11 15 53.8|+53 45 10| | |     |     |     |       |
168.9754|+53.7556|      13|  3| | 4|11 15 54.1|+53 45 20| | |     |     |     |       |
168.9696|+53.7550|      14|  3| | 5|11 15 52.7|+53 45 18| | |     |     |     |       |
168.9863|+53.7517|      15|  3| | 6|11 15 56.7|+53 45 06| | |     |     |     |       |
244.9629|+61.7097|      16|  4| | 1|16 19 51.1|+61 42 35| | |17.04|     |29520| 0.0985|
244.9550|+61.7108|      17|  4| | 2|16 19 49.2|+61 42 39| | |17.72|     |29110| 0.0971|
244.9612|+61.7125|      18|  4| | 3|16 19 50.7|+61 42 45| | |18.19|     |30220| 0.1008|
244.9421|+61.7072|      19|  4| | 4|16 19 46.1|+61 42 26| | |17.87|     |30100| 0.1004|
244.9692|+61.7131|      20|  4| | 5|16 19 52.6|+61 42 47| | |18.46|     |29220| 0.0975|
244.9462|+61.7108|      21|  4| | 6|16 19 47.1|+61 42 39| | |19.50|     |     |       |
244.9608|+61.7078|      22|  4| | 7|16 19 50.6|+61 42 28| | |19.73|     |     |       |
169.2767|+54.9169|      23|  5| | 1|11 17 06.4|+54 55 01| | |     |16.20|41870| 0.1397|= HCG 050A
169.2662|+54.9208|      24|  5| | 2|11 17 03.9|+54 55 15| | |     |17.19|41398| 0.1381|= HCG 050C
169.2767|+54.9236|      25|  5| | 3|11 17 06.4|+54 55 25| | |     |17.02|42546| 0.1419|= HCG 050D
169.2862|+54.9206|      26|  5| | 4|11 17 08.7|+54 55 14| | |     |17.64|41650| 0.1389|= HCG 050E
169.2837|+54.9175|      27|  5| | 5|11 17 08.1|+54 55 03| | |     |16.46|41170| 0.1373|= HCG 050B
169.2792|+54.9178|      28|  5| | 6|11 17 07.0|+54 55 04| | |     |     |     |       |
169.7075|+51.7444|      29|  6| | 1|11 18 49.8|+51 44 40| | |     |     |     |       |
169.7079|+51.7417|      30|  6| | 2|11 18 49.9|+51 44 30| | |     |     |     |       |
169.6996|+51.7397|      31|  6| | 3|11 18 47.9|+51 44 23| | |     |     |     |       |
169.6942|+51.7403|      32|  6| | 4|11 18 46.6|+51 44 25| | |     |     |     |       |
169.6954|+51.7442|      33|  6| | 5|11 18 46.9|+51 44 39| | |     |     |     |       |
169.6958|+51.7461|      34|  6| | 6|11 18 47.0|+51 44 46| | |     |     |     |       |
169.6983|+51.7542|      35|  6| | 7|11 18 47.6|+51 45 15| | |     |     |     |       |
169.7379|+51.7389|      36|  6| | 8|11 18 57.1|+51 44 20| | |     |     |     |       |
166.4742|+39.7828|      37|  7| | 1|11 05 53.8|+39 46 58| | |     |     |     |       |
166.4779|+39.7842|      38|  7| | 2|11 05 54.7|+39 47 03| | |     |     |     |       |
166.4771|+39.7914|      39|  7| | 3|11 05 54.5|+39 47 29| | |     |     |     |       |
166.4717|+39.7847|      40|  7| | 4|11 05 53.2|+39 47 05| | |     |     |     |       |
166.4729|+39.7856|      41|  7| | 5|11 05 53.5|+39 47 08| | |     |     |     |       |
166.4792|+39.7814|      42|  7| | 6|11 05 55.0|+39 46 53| | |     |     |     |       |
166.4887|+39.7847|      43|  7| | 7|11 05 57.3|+39 47 05| | |     |     |     |       |
240.9221|+52.3525|      44|  8| | 1|16 03 41.3|+52 21 09| | |     |     |     |       |
240.9233|+52.3561|      45|  8| | 2|16 03 41.6|+52 21 22| | |     |     |     |       |
240.9133|+52.3556|      46|  8| | 3|16 03 39.2|+52 21 20| | |     |     |     |       |
240.9154|+52.3517|      47|  8| | 4|16 03 39.7|+52 21 06| | |     |     |     |       |
240.9258|+52.3494|      48|  8| | 5|16 03 42.2|+52 20 58| | |     |     |     |       |
240.9192|+52.3544|      49|  8| | 6|16 03 40.6|+52 21 16| | |     |     |     |       |
240.9271|+52.3569|      50|  8| | 7|16 03 42.5|+52 21 25| | |     |     |     |       |
201.0325|+19.0233|      51|  9| | 1|13 24 07.8|+19 01 24| | |     |     |     |       |
201.0292|+19.0278|      52|  9| | 2|13 24 07.0|+19 01 40| | |     |     |     |       |
201.0237|+19.0361|      53|  9| | 3|13 24 05.7|+19 02 10| | |     |     |     |       |
201.0121|+19.0481|      54|  9| | 4|13 24 02.9|+19 02 53| | |     |     |     |       |
201.0158|+19.0192|      55|  9| | 5|13 24 03.8|+19 01 09| | |     |     |     |       |
201.0304|+19.0178|      56|  9| | 6|13 24 07.3|+19 01 04| | |     |     |     |       |
201.0062|+19.0558|      57|  9| | 7|13 24 01.5|+19 03 21| | |     |     |     |       |
212.7004|+46.2661|      58| 10| | 1|14 10 48.1|+46 15 58| | |     |     |     |       |
212.7112|+46.2692|      59| 10| | 2|14 10 50.7|+46 16 09| | |     |     |     |       |
212.7100|+46.2711|      60| 10| | 3|14 10 50.4|+46 16 16| | |     |     |     |       |
212.7142|+46.2764|      61| 10| | 4|14 10 51.4|+46 16 35| | |     |     |     |       |
212.7083|+46.2794|      62| 10| | 5|14 10 50.0|+46 16 46| | |     |     |     |       |
212.7346|+46.2656|      63| 10| | 6|14 10 56.3|+46 15 56| | |     |     |     |       |
212.7425|+46.2639|      64| 10| | 7|14 10 58.2|+46 15 50| | |     |     |     |       |
212.7450|+46.2667|      65| 10| | 8|14 10 58.8|+46 16 00| | |     |     |     |       |
212.7442|+46.2692|      66| 10| | 9|14 10 58.6|+46 16 09| | |     |     |     |       |
212.7554|+46.2611|      67| 10| |10|14 11 01.3|+46 15 40| | |     |     |     |       |
212.7575|+46.2583|      68| 10| |11|14 11 01.8|+46 15 30| | |     |     |     |       |
212.7421|+46.2431|      69| 10| |12|14 10 58.1|+46 14 35| | |     |     |     |       |
212.7375|+46.2397|      70| 10| |13|14 10 57.0|+46 14 23| | |     |     |     |       |
212.7175|+46.2531|      71| 10| |14|14 10 52.2|+46 15 11| | |     |     |     |       |
212.7296|+46.2303|      72| 10| |15|14 10 55.1|+46 13 49| | |     |     |     |       |
212.6788|+46.2592|      73| 10| |16|14 10 42.9|+46 15 33| | |     |     |     |       |
212.6804|+46.2831|      74| 10| |17|14 10 43.3|+46 16 59| | |     |     |     |       |
212.6879|+46.2500|      75| 10| |18|14 10 45.1|+46 15 00| | |     |     |     |       |
212.6379|+46.2589|      76| 10| |19|14 10 33.1|+46 15 32| | |     |     |     |       |
212.6392|+46.2578|      77| 10| |20|14 10 33.4|+46 15 28| | |     |     |     |       |
212.6367|+46.2494|      78| 10| |21|14 10 32.8|+46 14 58| | |     |     |     |       |
