|name     |ra      |dec     |phot_mag|hubble_type|ugc_number|mcg          |class               |
|UGC 5849 |10 43 56|-04 19.8|    14.1|           |      5849|MCG+01-28-003|              GALAXY|
|UGC 8512 |13 31 47|-02 43.4|    14.5|S0         |      8512|MCG+00-35-001|   LENTICULAR GALAXY|
|UGC 7951 |12 47 16|-02 43.4|    12.4|S0         |      7951|MCG+00-33-011|   LENTICULAR GALAXY|
|UGC 7065 |12 04 46|-02 42.7|    14.9|SBb        |      7065|MCG+00-31-033|SPIRAL GALAXY BARRED|
|UGC 6907 |11 56 04|-02 42.7|    14.2|S0?        |      6907|MCG+00-31-003|   LENTICULAR GALAXY|
|UGC 7710 |12 33 40|-02 39.5|    16.5|DWRF IR    |      7710|MCG+00-32-021|        DWARF GALAXY|
|UGC 6838 |11 51 58|-02 38.7|    15.4|           |      6838|MCG+00-30-000|              GALAXY|
|UGC 5652 |10 26 21|-02 37.3|    14.0|E-S0       |      5652|MCG+00-27-012|   ELLIPTICAL GALAXY|
|UGC 8513 |13 31 47|-02 36.4|    14.9|Sa-b       |      8513|MCG+00-35-002|       SPIRAL GALAXY|
|UGC 4647 |08 52 38|-02 36.4|    14.1|Sa-b       |      4647|MCG+00-23-008|       SPIRAL GALAXY|
|UGC 9818 |15 20 54|-02 35.8|    14.6|SB         |      9818|MCG+00-39-021|SPIRAL GALAXY BARRED|
|UGC 6978 |11 59 10|-02 34.7|    17.0|DWARF      |      6978|MCG+00-31-000|        DWARF GALAXY|
|UGC 5787 |10 38 27|-02 34.6|    14.7|SBb        |      5787|MCG+00-27-034|SPIRAL GALAXY BARRED|
|UGC 4680 |08 56 14|-02 34.5|    13.8|Sa?        |      4680|MCG+00-23-017|       SPIRAL GALAXY|
|UGC 9057 |14 10 11|-02 34.1|    14.4|           |      9057|MCG+00-36-023|              GALAXY|
|UGC 5054 |09 29 08|-02 33.2|    14.3|Sc         |      5054|MCG+00-24-017|       SPIRAL GALAXY|
|UGC 4481 |08 34 31|-02 32.4|    13.5|SBb        |      4481|MCG+00-22-019|SPIRAL GALAXY BARRED|
|UGC 9564 |14 52 12|-02 32.3|    14.2|Sc         |      9564|MCG+00-38-009|       SPIRAL GALAXY|
|UGC 5469 |10 08 20|-02 31.7|    14.2|S          |      5469|MCG+00-26-021|              GALAXY|
|UGC 5847 |10 43 51|-02 30.8|    15.5|SBb        |      5847|MCG+00-28-001|SPIRAL GALAXY BARRED|
|UGC 5586 |10 20 33|-02 30.1|    16.0|DBL SYS    |      5586|MCG+00-27-000|              GALAXY|
|UGC 5465 |10 07 56|-02 29.7|    14.0|Sb-c       |      5465|MCG+00-26-020|       SPIRAL GALAXY|
|UGC 5098 |09 34 26|-02 29.4|    14.5|S0-a       |      5098|MCG+00-25-002|   LENTICULAR GALAXY|
|UGC 10578|16 51 24|-02 28.0|    15.7|           |     10578|MCG+00-43-002|              GALAXY|
|UGC 5483 |10 10 02|-02 27.8|    15.5|S          |      5483|MCG+00-26-024|              GALAXY|
|UGC 6850 |11 52 40|-02 27.7|    14.1|PECULR     |      6850|MCG+00-30-032|              GALAXY|
|UGC 4508 |08 37 56|-02 27.5|    14.5|EX CMPT    |      4508|MCG+00-22-025|              GALAXY|
|UGC 10492|16 39 24|-02 25.8|    15.5|Sa         |     10492|MCG+00-42-008|       SPIRAL GALAXY|
|UGC 8404 |13 22 23|-02 24.7|    14.2|SB         |      8404|MCG+00-34-032|SPIRAL GALAXY BARRED|
|UGC 3153 |04 45 49|-02 24.6|    12.9|E          |      3153|MCG+00-13-003|   ELLIPTICAL GALAXY|
|UGC 5411 |10 03 08|-02 22.5|    14.3|S          |      5411|MCG+00-26-012|              GALAXY|
|UGC 7067 |12 04 52|-02 21.7|    14.0|Sb         |      7067|MCG+00-31-034|       SPIRAL GALAXY|
|UGC 4638 |08 51 38|-02 21.3|    14.5|DBL SYS    |      4638|MCG+00-23-005|              GALAXY|
|UGC 7752 |12 35 28|-02 19.5|    15.4|S          |      7752|MCG+00-32-000|              GALAXY|
|UGC 2697 |03 21 20|-02 19.3|    14.8|S0?        |      2697|MCG+00-09-069|   LENTICULAR GALAXY|
|UGC 3105 |04 37 01|-02 19.0|    14.5|S0         |      3105|MCG+00-12-056|   LENTICULAR GALAXY|
|UGC 3168 |04 47 31|-02 18.7|    15.3|Sc         |      3168|MCG+00-13-010|       SPIRAL GALAXY|
|UGC 6879 |11 54 28|-02 18.7|    14.4|Sc-IRR     |      6879|MCG+00-30-035|       SPIRAL GALAXY|
|UGC 7913 |12 44 34|-02 18.4|    15.7|DWARF      |      7913|MCG+00-33-000|        DWARF GALAXY|
|UGC 3104 |04 36 37|-02 18.0|    15.4|Sa         |      3104|MCG+00-12-055|       SPIRAL GALAXY|
|UGC 3020 |04 21 01|-02 17.9|    16.5|           |      3020|MCG+00-12-013|              GALAXY|
|UGC 6510 |11 31 33|-02 17.6|    14.0|Sc         |      6510|MCG+00-30-001|       SPIRAL GALAXY|
|UGC 4672 |08 55 44|-02 17.5|    14.8|S          |      4672|MCG+00-23-013|              GALAXY|
