#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-07-24T13:47:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53d0be517ba2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-order=I
#-nav=cat:VII/220A&tab:{VII/220A/barnard}&tab:{VII/220A/notes}&key:source=VII/220A/barnard&key:source=VII/220A/notes&HTTPPRM:&&-ref=VIZ53d0be517ba2&-out.max=100&-out.form=ascii - 999'filled&-out.add=_r&-out.add=_RAJ,_DEJ&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=VII/220A/barnard,VII/220A/notes&-out=Barn&-joincol={VII/220A/barnard}.{Barn}&-out=Diam&-out=_RA.icrs&-out=_DE.icrs&-out=Text&-meta=1u&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= VII/220A/barnard VII/220A/notes
#-order=I
#-out.src=VII/220A/barnard,VII/220A/notes
#-out=Barn
#-joincol={VII/220A/barnard}.{Barn}
#-out=Diam
#-out=_RA.icrs
#-out=_DE.icrs
#-out=Text
#

#RESOURCE=join
#Name: #Join
#Title:  Join tables VII/220A/barnard,VII/220A/notes
#
#Coosys	B1875:	eq_FK4 B1875
#Table	VII_220A_barnard_VII_220A_notes:
#Name: VII/220A/barnard,VII/220A/notes
#Title:
#Column	_RAJ2000{1}	(F6.2)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000{1}	(F6.2)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Barn{1}	(A4)	[ 0-9a]! Barnard number	[ucd=meta.id;meta.main]
#Column	Diam{1}	(F5.1)	? Diameter of the nebula	[ucd=phys.angSize]
#Column	_RA.icrs{1}	(A8)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs{1}	(A6)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Text{2}	(a74)	Text of note	[ucd=meta.note]
_DEJ2000	_RAJ2000	Barn	Diam	_RA.icrs	_DE.icrs	Text
deg	deg	 	arcmin	"h:m:s"	"d:m:s"	
------	------	----	-----	--------	------	--------------------------------------------------------------------------
+31.1592	053.2392	  1 	 30.0	03 32 57.4	+31 09 33	Large, indefinite
+32.3246	053.3803	  2 	 20.0	03 33 31.3	+32 19 29	Indefinite; elongated SE and NW
+31.9755	055.0080	  3 	 20.0	03 40 01.9	+31 58 32	Irregular, dark space in nebula; curved, bright strip of nebulosity in SW
+31.9755	055.0080	  3 	 20.0	03 40 01.9	+31 58 32	side
+31.7989	056.0100	  4 	     	03 44 02.4	+31 47 56	Very large; indefinite
+32.8894	056.9711	  5 	 60.0	03 47 53.1	+32 53 22	Indefinite; elongated NE and SW; Eta Persei (BD +32 667, mag 5.8) near NE
+32.8894	056.9711	  5 	 60.0	03 47 53.1	+32 53 22	side
+56.1203	059.0975	  6 	     	03 56 23.4	+56 07 13	Round; indefinite
+28.5618	064.3540	  7 	     	04 17 25.0	+28 33 43	Large, irregular, with brighter condensation (B 10) in SE part
+55.2470	064.4620	  8 	     	04 17 50.9	+55 14 49	Center of a dark, irregular lane about 2.6 degrees long and 22' + or -
+55.2470	064.4620	  8 	     	04 17 50.9	+55 14 49	across; very much like the dark lanes E. of Rho Ophiuchi
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	Dark, irregular vacancy. This is the middle of a great vacancy extending
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	east and west, the continuous part of which is 2.5 degrees long and about
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	.5 degree wide. It really extends in a more or less broken form for about
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	6 degrees. There is a wide region extending south of it for a couple of
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	degrees, nearly to the star BD +53 750 (magnitude 5.0) whose position is
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	4h6m58s, N 53 18' (1875.0). To the east it breaks up into more or less
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	separate spots, somewhat resembling those at the east end of the great
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	lane from Rho Ophiuchi, but unlike that lane it does not originate in a
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	larger vacant space or a nebula. Its borders are not so definite as the
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	Rho Ophiuchi lane. It is approximately bounded by the coordinates 3h58m,
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	N54.7 and 4h20m, N54.8. The individual positions of some of the spots are
