#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-05-13T18:48:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ55539b4ea33c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=37	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_p
#-out.add=_x,_y
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=VII/213/groups,VII/213/dynamics,VII/213/galaxies,VII/213/morpho
#-nav=cat:VII/213&tab:{VII/213/groups}&tab:{VII/213/dynamics}&tab:{VII/213/galaxies}&tab:{VII/213/morpho}&key:source=VII/213/groups&key:source=VII/213/dynamics&key:source=VII/213/galaxies&key:source=VII/213/morpho&HTTPPRM:&&-ref=VIZ55539b4ea33c&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_p&-out.add=_x,_y&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HCG&-joincol={VII/213/groups}.{HCG}&-out=Dyna&-out=Type&-out=MCount&-out=AngSize&-out=TotMag&-out=Emag&-out=Aname1&-out=Aname2&-out=Aname3&-out=Aname4&-out=n&-out=log(sV)&-out=log(V)&-out=log(R)&-out=log(Ho.tc)&-out=MType&-out=Names&-out=Comments&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VII/213/groups,VII/213/dynamics,VII/213/galaxies,VII/213/morpho
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/213/groups VII/213/dynamics VII/213/galaxies VII/213/morpho
#-order=I
#-out=HCG
#-joincol={VII/213/groups}.{HCG}
#-joincol=HCG
#-out=Dyna
#-out=Type
#-out=MCount
#-out=AngSize
#-out=TotMag
#-out=Emag
#-out=Aname1
#-out=Aname2
#-out=Aname3
#-out=Aname4
#-out=n
#-out=log(sV)
#-out=log(V)
#-out=log(R)
#-out=log(Ho.tc)
#-out=MType
#-out=Names
#-out=Comments
#

#RESOURCE=join
#Name: #Join
#Title:  Join tables VII/213/groups,VII/213/dynamics,VII/213/galaxies,VII/213/morpho
#
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_213_groups_VII_213_dynamics_VII_213_galaxies_VII_213_morpho:
#Name: VII/213/groups,VII/213/dynamics,VII/213/galaxies,VII/213/morpho
#Title:
#Column	_RAJ2000{1}	(F7.3)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000{1}	(F7.3)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	HCG{1}	(I3)	[1/100]+ Number of the group in this catalog [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	Dyna{1}	(A1)	[*] '*' when group has dynamical parameters	[ucd=meta.code]
#Column	Type{1}	(A2)	Group type	[ucd=src.class]
#Column	MCount{1}	(I2)	Member count [NULL integer written as an empty string]	[ucd=meta.number]
#Column	AngSize{1}	(F5.1)	Angular size	[ucd=phys.angSize;src]
#Column	TotMag{1}	(F5.1)	Total magnitude of group	[ucd=phot.mag;em.opt.B]
#Column	Emag{1}	(F5.1)	Brightest member magnitude	[ucd=phot.mag;em.opt.R]
#Column	Aname1{1}	(a6)	Alternate name 1	[ucd=meta.id]
#Column	Aname2{1}	(a6)	Alternate name 2	[ucd=meta.id]
#Column	Aname3{1}	(a6)	Alternate name 3	[ucd=meta.id]
#Column	Aname4{1}	(a6)	Alternate name 4	[ucd=meta.id]
#Column	n{2}	(I1)	Number of galaxies with accordant velocities [NULL integer written as an empty string]	[ucd=meta.number]
#Column	log(sV){2}	(F5.2)	Radial velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	log(V){2}	(F5.2)	? Estimated instrinsic 3D velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	log(R){2}	(F5.2)	Median projected separation	[ucd=pos.angDistance]
#Column	log(Ho.tc){2}	(F5.2)	Crossing time (expressed in 1/Ho units)	[ucd=time.crossing]
#Column	MType{3}	(a4)	Hubble Morphological type	[ucd=src.morph.type]
#Column	Names{3}	(a18)	Other names	[ucd=meta.id]
#Column	MType{4}	(a4)	Morphological type	[ucd=src.morph.type]
#Column	Comments{4}	(a69)	Comments	[ucd=meta.note]
_DEJ2000	_RAJ2000	HCG	Dyna	Type	MCount	AngSize	TotMag	Emag	Aname1	Aname2	Aname3	Aname4	n	log(sV)	log(V)	log(R)	log(Ho.tc)	MType	Names	MType	Comments
deg	deg	 	 	 	 	arcmin	mag	mag	 	 	 	 	 	[km/s]	[km/s]	[kpc]	 	 	 	 	
-------	-------	---	-	--	--	-----	-----	-----	------	------	------	------	-	-----	-----	-----	-----	----	------------------	----	---------------------------------------------------------------------
+25.7181	006.5008	  1	*	S3	 4	  2.9	 12.8	 13.8	U248  	      	      	      	4	 1.93	 2.12	 1.69	-1.32	Sc  	U248a             	Im  	Tidal arm (I)
+25.7181	006.5008	  1	*	S3	 4	  2.9	 12.8	 13.8	U248  	      	      	      	4	 1.93	 2.12	 1.69	-1.32	Sc  	U248a             	Sc  	Tidal arm (I)
+25.7181	006.5008	  1	*	S3	 4	  2.9	 12.8	 13.8	U248  	      	      	      	4	 1.93	 2.12	 1.69	-1.32	Im  	U248b             	Im  	Tidal arm (I)
+25.7181	006.5008	  1	*	S3	 4	  2.9	 12.8	 13.8	U248  	      	      	      	4	 1.93	 2.12	 1.69	-1.32	Im  	U248b             	Sc  	Tidal arm (I)
+25.7181	006.5008	  1	*	S3	 4	  2.9	 12.8	 13.8	U248  	      	      	      	4	 1.93	 2.12	 1.69	-1.32	E0  	                  	Im  	Tidal arm (I)
+25.7181	006.5008	  1	*	S3	 4	  2.9	 12.8	 13.8	U248  	      	      	      	4	 1.93	 2.12	 1.69	-1.32	E0  	                  	Sc  	Tidal arm (I)
+25.7181	006.5008	  1	*	S3	 4	  2.9	 12.8	 13.8	U248  	      	      	      	4	 1.93	 2.12	 1.69	-1.32	S0  	                  	Im  	Tidal arm (I)
+25.7181	006.5008	  1	*	S3	 4	  2.9	 12.8	 13.8	U248  	      	      	      	4	 1.93	 2.12	 1.69	-1.32	S0  	                  	Sc  	Tidal arm (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	SBd 	U312              	SBc 	Disturbed morpho (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	SBd 	U312              	cI  	Disturbed morpho-IR (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	SBd 	U312              	SBd 	Disturbed morpho tail-like possibly IR (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	cI  	Mk552 MCG1-2-18   	SBc 	Disturbed morpho (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	cI  	Mk552 MCG1-2-18   	cI  	Disturbed morpho-IR (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	cI  	Mk552 MCG1-2-18   	SBd 	Disturbed morpho tail-like possibly IR (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	SBc 	U314              	SBc 	Disturbed morpho (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	SBc 	U314              	cI  	Disturbed morpho-IR (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	SBc 	U314              	SBd 	Disturbed morpho tail-like possibly IR (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	SBb 	U315              	SBc 	Disturbed morpho (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	SBb 	U315              	cI  	Disturbed morpho-IR (I)
 +8.4313	007.8752	  2	*	S2	 4	  7.1	 12.1	 12.9	U312  	      	      	      	3	 1.74	 1.88	 1.72	-1.06	SBb 	U315              	SBd 	Disturbed morpho tail-like possibly IR (I)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	Sc  	                  	E4  	Disturbed morpho-emission-too blue (M)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	Sc  	                  	E2  	Disturbed morpho (M?)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	Sc  	                  	Sc  	IR
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	Sc  	                  	E4  	Disturbed morpho-emission-too blue (M)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	Sc  	                  	E2  	Disturbed morpho (M?)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	Sc  	                  	Sc  	IR
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	E2  	                  	E4  	Disturbed morpho-emission-too blue (M)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	E2  	                  	E2  	Disturbed morpho (M?)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	E2  	                  	Sc  	IR
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	E4  	                  	E4  	Disturbed morpho-emission-too blue (M)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	E4  	                  	E2  	Disturbed morpho (M?)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	E4  	                  	Sc  	IR
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	Sab 	                  	E4  	Disturbed morpho-emission-too blue (M)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	Sab 	                  	E2  	Disturbed morpho (M?)
-21.4467	008.5665	  4	*	S1	 5	  3.6	 12.5	 13.0	      	      	      	      	3	 2.53	 2.76	 1.76	-1.90	Sab 	                  	Sc  	IR
 +7.0635	009.7254	  5	*	S2	 4	  1.6	 12.5	 13.3	N190  	U397  	      	      	3	 2.17	 2.39	 1.41	-1.88	Sab 	N190N U397a       	E0  	Interacting with a (I)
 +7.0635	009.7254	  5	*	S2	 4	  1.6	 12.5	 13.3	N190  	U397  	      	      	3	 2.17	 2.39	 1.41	-1.88	Sab 	N190N U397a       	Sab 	Distorted spiral arm-interacting with b (I)
 +7.0635	009.7254	  5	*	S2	 4	  1.6	 12.5	 13.3	N190  	U397  	      	      	3	 2.17	 2.39	 1.41	-1.88	E0  	N1905 U397b       	E0  	Interacting with a (I)
 +7.0635	009.7254	  5	*	S2	 4	  1.6	 12.5	 13.3	N190  	U397  	      	      	3	 2.17	 2.39	 1.41	-1.88	E0  	N1905 U397b       	Sab 	Distorted spiral arm-interacting with b (I)
 +7.0635	009.7254	  5	*	S2	 4	  1.6	 12.5	 13.3	N190  	U397  	      	      	3	 2.17	 2.39	 1.41	-1.88	S0  	                  	E0  	Interacting with a (I)
 +7.0635	009.7254	  5	*	S2	 4	  1.6	 12.5	 13.3	N190  	U397  	      	      	3	 2.17	 2.39	 1.41	-1.88	S0  	                  	Sab 	Distorted spiral arm-interacting with b (I)
 +7.0635	009.7254	  5	*	S2	 4	  1.6	 12.5	 13.3	N190  	U397  	      	      	3	 2.17	 2.39	 1.41	-1.88	Sc  	                  	E0  	Interacting with a (I)
 +7.0635	009.7254	  5	*	S2	 4	  1.6	 12.5	 13.3	N190  	U397  	      	      	3	 2.17	 2.39	 1.41	-1.88	Sc  	                  	Sab 	Distorted spiral arm-interacting with b (I)
 -8.3954	009.7921	  6	*	E3	 4	  1.6	 12.3	 13.4	      	      	      	      	4	 2.40	 2.63	 1.40	-2.12	S0a 	                  	Sab 	Boxy dust lane-weak radio
 -8.3954	009.7921	  6	*	E3	 4	  1.6	 12.3	 13.4	      	      	      	      	4	 2.40	 2.63	 1.40	-2.12	Sab 	                  	Sab 	Boxy dust lane-weak radio
 -8.3954	009.7921	  6	*	E3	 4	  1.6	 12.3	 13.4	      	      	      	      	4	 2.40	 2.63	 1.40	-2.12	E5  	                  	Sab 	Boxy dust lane-weak radio
 -8.3954	009.7921	  6	*	E3	 4	  1.6	 12.3	 13.4	      	      	      	      	4	 2.40	 2.63	 1.40	-2.12	Sbc 	                  	Sab 	Boxy dust lane-weak radio
 +0.8782	009.8496	  7	*	E2	 4	  5.7	 11.4	 12.1	N192  	U401  	      	      	4	 1.95	 2.16	 1.66	-1.40	Sb  	N192 U401         	SBc 	IR
 +0.8782	009.8496	  7	*	E2	 4	  5.7	 11.4	 12.1	N192  	U401  	      	      	4	 1.95	 2.16	 1.66	-1.40	Sb  	N192 U401         	Sb  	Dust lane-tidal spiral arms-radio-IR (I)
 +0.8782	009.8496	  7	*	E2	 4	  5.7	 11.4	 12.1	N192  	U401  	      	      	4	 1.95	 2.16	 1.66	-1.40	SB0 	N196 U405         	SBc 	IR
 +0.8782	009.8496	  7	*	E2	 4	  5.7	 11.4	 12.1	N192  	U401  	      	      	4	 1.95	 2.16	 1.66	-1.40	SB0 	N196 U405         	Sb  	Dust lane-tidal spiral arms-radio-IR (I)
 +0.8782	009.8496	  7	*	E2	 4	  5.7	 11.4	 12.1	N192  	U401  	      	      	4	 1.95	 2.16	 1.66	-1.40	SBc 	N201 U419         	SBc 	IR
 +0.8782	009.8496	  7	*	E2	 4	  5.7	 11.4	 12.1	N192  	U401  	      	      	4	 1.95	 2.16	 1.66	-1.40	SBc 	N201 U419         	Sb  	Dust lane-tidal spiral arms-radio-IR (I)
 +0.8782	009.8496	  7	*	E2	 4	  5.7	 11.4	 12.1	N192  	U401  	      	      	4	 1.95	 2.16	 1.66	-1.40	SBc 	N197 U406         	SBc 	IR
